,tweet,Uber_predicted_label
0,@Safaricom_Care Done,0
1,"@RLwones @RLwones
Kindly DM https://t.co/jF6LqBUAqM us your number, names and i.d we check and advise. ^AL",1
2,"@iamzakarianoor @SafaicomPLC Sorry about the ordeal Zakaria, however, the information shared on the 1st screenshot is legitimate. ^OA",0
3,"@OlareErick @Safaricom_Care Washarudisha, very incompetent.",1
4,@AntohLibra_ @Safaricom_Care Haha. Pia naambiwa nikavote limuru,1
5,@eddie_owino @Safaricom_Care Pole kaka,1
6,"@Safaricom_Care Ee my fuliza, and mshwari limit is stunted",1
7,@gathira_Lfc Most welcome.^CS,1
8,"@SafaricomPLC  @Safaricom_Care your internet packages are scams  and fake .RIP to safaricom ,why would provide a internet with a limit of 120GB in 2022 . Mi cmtoto nkt kwenda",0
9,@RLwones Morning. How can we assist? ^MI,1
10,@Safaricom_Care @Safaricom_Care thanks🙏,1
11,@Safaricom_Care @SafaicomPLC why do i keep getting or hearing a new information from your represantatives. I came to digo shop in mombasa on 1st august for an mpesa reversal and was advised to wait 72 hours after being patient for those hours below is one of your rep… https://t.co/UGPlcdbmts,0
12,Good morning safaricom @Safaricom_Care @SafaricomPLC .,1
13,@Refa_h023 @MrRightke @Safaricom_Care 😂😂😂,1
14,"@gathira_Lfc Gathira hey, use the message received to get cashback at an Mpesa agent with your ID. ^SI",0
15,"@jamalomar427 Hello Jamal, do you mean a transaction? Please DM https://t.co/jF6LqBUAqM the transaction code so we can check and advise. ^OA",1
16,"@MosesKipkosgei3 Hi Moses, your feedback has been shared .^Py",0
17,"@Safaricom_Care Mzee anataka jibu, put your Recce squad to task https://t.co/0WjUdZk7fi",1
18,@Safaricom_Care what can be done when someone sends money to you to a number that mpesa has not yet been activated.,0
19,"@mwende_kyalo_ Hi Mwende, DM https://t.co/jF6LqBUAqM phone number, name and ID number as registered and clarify what happened for us to advise.^LW",0
20,@Safaricom_Care can u reverse a transition?,1
21,"@TriXta_Thareal Hi. No,we do not have any reported issue. What's the error please? ^PW",0
22,"@LelyNomido @LelyNomido
Hello Lely, sorry about that, this might be an issue with your handset connection, kindly restart your phone and test. Please share feedback for further follow up. ^AL",0
23,"@WillMureithi Hi Will, DM https://t.co/jF6LqBUAqM your number we check on this.^LW",1
24,"@Safaricom_Care Someone is trying to hack my phone, how can I ensure they don't get those mshwari loans and fuliza on my behalf?",0
25,"@jchira2 What about this mining data from safaricom just to send us sms to vote for you. This is another desparate move in the making
@Safaricom_Care don't give out contacts without consent for this kind of none sense https://t.co/49Q0gc8pGV",0
26,"also nikikopa mara ya kwanza, O get the debt invoice/message and not the credit.

so I have to borrow a second time??
@Safaricom_Care @SafaricomPLC

kama mnataka kuiba semeni tu, this is already a land of thieves",0
27,@Safaricom_Care @Safaricom_Care your pop up menu for purchasing data and minutes are annoyingly delaying and sometimes failing on my side🤦🏾‍♂ Why is that?,0
28,"@Safaricom Plc
@SafaricomFDN 
@Safaricom_Care 
@Alice Otieno

Thank you for the light you brought at Bulukhombe Primary. https://t.co/Pqfy0WTCoR",1
29,"@Safaricom_Care is there an issue with mpesa till lines, I can't seem to do payment atm?",0
30,"why is it that everytime I have 50 bob airtime, I'm told insufficient balance only for calls? @SafaricomPLC @Safaricom_Care",1
31,"@Safaricom_Care kindly install a booster at patanisho area,kayole. People are really struggling here.",1
32,"@AntohLibra_ Hi, Antoh. We do not share customer data with third parties. Pleae dial *456*9*5# &gt;then Stop ALL Promo Messages or Stop by Sender Name &gt;enter the name/number. ^WS",0
33,"@Safaricom_Care what is the correct to input password to open
Mpesa statements document",1
34,@AntohLibra_ @Safaricom_Care Haha,1
35,Oyah @Safaricom_Care mbona napata texts nivotie my area MP? How much did he pay for my data?,0
36,@Safaricom_Care how to someone unblock their simcard? Rather access their Puk no? Urgently assist @SafaricomPLC,0
37,@mwirigy Welcome and good day.^LW,1
38,"About time! @SafaricomPLC are notorious for sending annoying messages, that you can't opt out of, at midnight! Thank you @CA_Kenya for reining in on @Safaricom_Care https://t.co/vphfrEaDXX",1
39,@Safaricom_Care,1
40,"@Safaricom_Care Noted, thank you. Most of us will appreciate that.",1
41,"@mwirigy Apologies for the delayed response Ken, your feedback for the postpay payments was captured. ^LW",1
42,@SafaricomPLC @Safaricom_Care how did William Ruto UDA get my number are our details safe with you ??@makaumutua @DonaldBKipkorir @citizentvkenya @JunetMohamed @AzimioTv https://t.co/WT04rZNRB9,1
43,@oscar_lihamba @oscar_lihamba apologies for the inconvenience kindly share a reachable number for further assistance Thank You^AD,1
